pais_destino,Atraccion,categoria,turistas_anuales,rating,mejor_estacion,descripcion
SUIZA,Jungfraujoch (Top de Europa),"""montaña, ingenieria, vistas, tren, aventura""",1000000,4.8,Todo el año,"""La estacion de tren mas alta de Europa, en los Alpes Berneses, con vistas a los glaciares y un palacio de hielo."""
SUIZA,Lucerna (Kapellbrucke),"""ciudad, monumento, medieval, historia, rio""",5000000,4.7,Primavera,"""La ciudad de Lucerna, famosa por su historico puente de madera (Kapellbrucke) y su pintoresco lago."""
SUIZA,Interlaken y la Region de los Tres Lagos,"""naturaleza, lago, aventura, montaña, relax""",3000000,4.6,Verano,"""Capital de la aventura suiza, situada entre los lagos Thun y Brienz y rodeada de impresionantes picos alpinos."""
SUIZA,Tren Panoramico Glacier Express,"""tren, paisaje, aventura, carretera escenica, ingenieria""",500000,4.7,Todo el año,"""El tren expreso mas lento del mundo, que ofrece un viaje panoramico inolvidable a traves de los Alpes suizos."""
SUIZA,Ginebra (Jet d'Eau y Casco Antiguo),"""ciudad, simbolo, lago, politica, ocio""",4000000,4.5,Todo el año,"""Ciudad cosmopolita y centro diplomatico, famosa por el chorro de agua gigante en el Lago Ginebra y su Casco Antiguo."""
SUIZA,Castillo de Chillon (Montreux),"""castillo, historia, medieval, lago, arquitectura""",400000,4.6,Primavera,"""Impresionante castillo medieval sobre una roca a orillas del Lago Leman, uno de los mas visitados de Suiza."""
SUIZA,Berna (Casco Antiguo),"""ciudad, patrimonio unesco, arquitectura, historia, rio""",1500000,4.5,Todo el año,"""La capital de Suiza, con un casco antiguo medieval bien conservado, Patrimonio de la UNESCO, y famosa por sus fuentes."""
SUIZA,Cataratas del Rin (Rheinfall),"""naturaleza, rio, aventura, cascada""",1500000,4.8,Verano,"""Las cascadas mas grandes de Europa, una espectacular demostracion de fuerza del Rio Rin."""
SUIZA,Zúrich (Bahnhofstrasse y Lago),"""ciudad, compras, lago, finanzas, relax""",6000000,4.4,Todo el año,"""El centro financiero de Suiza, con su elegante calle comercial (Bahnhofstrasse) y su extenso lago."""
TURQUÍA,Santa Sofia (Estambul),"""religion, historia, arquitectura, bizantino, patrimonio unesco""",3800000,4.9,Todo el año,"""Una obra maestra de la arquitectura bizantina y otomana, que ha servido como iglesia, mezquita y ahora museo."""
TURQUÍA,Mezquita Azul (Estambul),"""religion, arquitectura, monumento, ciudad""",4000000,4.8,Todo el año,"""Famosa mezquita otomana, conocida por sus seis minaretes y los intrincados azulejos azules que decoran su interior."""
TURQUÍA,Capadocia (Goreme),"""naturaleza, geologia, patrimonio unesco, aventura, pueblo""",3500000,4.9,Primavera,"""Region famosa por sus 'chimeneas de hadas' y los vuelos en globo aerostatico al amanecer sobre un paisaje lunar."""
TURQUÍA,Gran Bazar (Estambul),"""mercado, compras, cultura, gastronomia, ciudad""",90000000,4.5,Todo el año,"""Uno de los mercados cubiertos mas grandes y antiguos del mundo, un laberinto de tiendas de especias, alfombras y joyas."""
TURQUÍA,Efeso (Ephesus),"""arqueologia, historia, ruina, patrimonio unesco""",2000000,4.7,Primavera,"""Antigua ciudad romana, uno de los sitios arqueologicos mejor conservados del Mediterraneo, famosa por su Biblioteca de Celso."""
TURQUÍA,Pamukkale (Castillo de Algodon),"""naturaleza, geologia, patrimonio unesco, relax, aguas termales""",2500000,4.6,Verano,"""Terrazas de travertino blanco formadas por aguas termales ricas en minerales, un espectaculo natural unico."""
TURQUÍA,Palacio de Topkapi (Estambul),"""palacio, historia, otomano, monarquia, museo""",3300000,4.7,Todo el año,"""Residencia principal de los sultanes otomanos durante casi 400 años, un complejo que exhibe las joyas y reliquias imperiales."""
TURQUÍA,Monte Nemrut,"""historia, arqueologia, monumento, montaña, vistas""",100000,4.5,Verano,"""Sitio arqueologico famoso por las estatuas gigantescas de cabezas de dioses, un lugar de culto y mausoleo."""
TURQUÍA,Hipotropos (Estambul),"""historia, monumento, ciudad, arqueologia""",5000000,4.3,Todo el año,"""El antiguo centro deportivo y social de Constantinopla, hogar de grandes obeliscos de la antiguedad."""
TURQUÍA,Museo Subterraneo de Capadocia (Derinkuyu),"""cueva, historia, religion, aventura""",1500000,4.6,Todo el año,"""Una de las ciudades subterraneas mas grandes de Capadocia, construida para refugio de los cristianos."""
